entity	file	value	xpath	attributes	attribute_values
manuscripts	1054.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1054.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1054.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1055.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1055.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1055.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1055.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1056.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1056.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1056.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1056.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1057.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1057.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1057.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1057.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1058.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1058.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1058.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1058.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1059.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1059.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1059.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1059.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	106.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	106.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	106.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	106.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1060.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1060.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1060.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1060.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1062.xml	1100-1300?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1062.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1062.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1062.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1063.xml	after 1000	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1063.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1063.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1063.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1064.xml	1100-1300?	/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1064.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
manuscripts	1064.xml		/TEI/text/body/listBibl/msDesc/history/provenance/date		
manuscripts	1064.xml		/TEI/text/body/listBibl/msDesc/history/acquisition/date		
manuscripts	1065.xml		/TEI/text/body/listBibl/msDesc/physDesc/handDesc/handNote/origDate		
manuscripts	1065.xml		/TEI/text/body/listBibl/msDesc/physDesc/bindingDesc/binding/decoNote/origDate		
